auction_date_long,auction_desc,auction_house,auction_location,auction_name,chassis_number,image,link,link_v2,lot_description,price_eur_number,price_eur_string,price_gbp_number,price_gbp_string,price_usd_number,price_usd_string,reg_number,url,year,sourceUrl,status
5th Dec 2025,RM Sotheby's • Abu Dhabi,RM Sotheby's,United Arab Emirates,Abu Dhabi,ZFFGJ34B000083249,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/hDmC9G5dFKbCejek9Y6ta4fAYm44xjBbLuP5E2t1m57Ge-g2CXaI5PWLahA2XsD9yrXfK2IDKmg0WkkqettiQQ.jpeg,/cars/ferrari/f40/1990/589148,/cars/ferrari/f40/589148,1990 Ferrari F40,3349948,"€3,349,948",2.941891e+06,"£2,941,891",3886250,"$3,886,250",277873,https://rmsothebys.com/auctions/ad25/lots/r0010-1990-ferrari-f40/,1990,https://www.theclassicvaluer.com,Sold
1st Nov 2025,RM Sotheby's • London,RM Sotheby's,United Kingdom,London,ZFFGJ34B000088605,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/vC1knAAeXGK2iRUoLbWbadxOQHmymRGuiqNqAVWvz4rBzF84xoMXTj5f6UP3L4Ngfpm1mUnapEjs98BFEt9UUw.jpeg,/cars/ferrari/f40/1991/580972,/cars/ferrari/f40/580972,1991 Ferrari F40,0,Not Sold,0,Not Sold,0,Not Sold,,https://rmsothebys.com/auctions/lf25/lots/r0020-1991-ferrari-f40/,1991,https://www.theclassicvaluer.com,Not Sold
12th Oct 2025,Bonhams • The Zoute Auction,Bonhams,Belgium,The Zoute Auction,ZFFGJ34B000090667,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/sdilfgaMe1M5oyA7-OqBCJzgb7fyJrVDxvMontbTZGA1zZvdxQusODy5p73HqlrNBJc0iCpZ9gb1Dgt50Tyr3w.jpeg,/cars/ferrari/f40/1991/575832,/cars/ferrari/f40/575832,Long-term ownership in Japan for more than 20 years 1991 Ferrari F40 Coupé,2645000,"€2,645,000",2.31173e+06,"£2,311,730",3107875,"$3,107,875",,https://www.bonhams.com/auction/31021/lot/150/1991-ferrari-f40-coupe-chassis-no-zffgj34b000090667-engine-no-28385/,1991,https://www.theclassicvaluer.com,Sold
11th Oct 2025,RM Sotheby's • The Tailored For Speed Collection,RM Sotheby's,Switzerland,The Tailored For Speed Collection,ZFFGJ34B000083845,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/a9f3NRWqzovX1QuAT3KgBfTGrjH6N86N6fIw6c2bStX7sAceaNqU8GkbUjKlE9qahZPIAgPoR-xZ9k4Tdnq4bw.jpeg,/cars/ferrari/f40/1989/575777,/cars/ferrari/f40/575777,1989 Ferrari F40,3168152,"€3,168,152",2.762889e+06,"£2,762,889",3721321,"$3,721,321",,https://rmsothebys.com/auctions/id25/lots/r0007-1989-ferrari-f40/,1989,https://www.theclassicvaluer.com,Sold
10th Oct 2025,Broad Arrow • Zoute Concours Auction 2025,Broad Arrow,Belgium,Zoute Concours Auction 2025,,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/61jC5CNtZgfxgiHNZJuH8ClmfWK6-xHe6nCwm8YJFWI3niyeohPmLUCKRMvcG_0sKXvBj6wmX_BWpIkJ9CQ7Cw.jpeg,/cars/ferrari/f40/1990/576109,/cars/ferrari/f40/576109,1990 Ferrari F40,0,Not Sold,0,Not Sold,0,Not Sold,,https://www.broadarrowauctions.com/vehicles/zt25_r0095/1990-ferrari-f40,1990,https://www.theclassicvaluer.com,Not Sold
16th Aug 2025,RM Sotheby's • Monterey 2025,RM Sotheby's,United States,Monterey 2025,ZFFGJ34B000084036,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/bHKtTlYKfHKEH7l-FjjW9eh2w8H2Dg7QrJOtWXk4NPJe4aa7Pn0V0CsAfTX6NmF0sOk-FWJ7xmYW05YnuQoXMA.jpeg,/cars/ferrari/f40/1990/563512,/cars/ferrari/f40/563512,1990 Ferrari F40,3373125,"€3,373,125",2.918235e+06,"£2,918,235",3855000,"$3,855,000",,https://rmsothebys.com/auctions/mo25/lots/r0017-1990-ferrari-f40/,1990,https://www.theclassicvaluer.com,Sold
16th Aug 2025,Gooding Christie's • Pebble Beach Auctions 2025,Gooding Christie's,United States,Pebble Beach Auctions 2025,ZFFMN34A0L0086620,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/tPqyy41uXGkenAnZhJhLtwXmZmi9cciTuLsS--dTMfqmYuTOM3JVs5bMcBpWUqE4ebMWajuRefT0TS1RrjJUOA.jpeg,/cars/ferrari/f40/1990/563131,/cars/ferrari/f40/563131,1990 Ferrari F40,3325000,"€3,325,000",2.8766e+06,"£2,876,600",3800000,"$3,800,000",,https://www.goodingco.com/lot/1990-ferrari-f40-1b/,1990,https://www.theclassicvaluer.com,Sold
16th Aug 2025,RM Sotheby's • Monterey 2025,RM Sotheby's,United States,Monterey 2025,ZFFGJ34B000094647,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/NT2vCNKDLzzNRttbzKU5U_Hz395ePRTAbze2ZxGKk2sD1Dk5lPvykR5tz_TyvX0rd7kL3p0EAcx3xpGmEL1FGQ.jpeg,/cars/ferrari/f40/1992/563513,/cars/ferrari/f40/563513,1992 Ferrari F40,2410625,"€2,410,625",2.085535e+06,"£2,085,535",2755000,"$2,755,000",,https://rmsothebys.com/auctions/mo25/lots/r0020-1992-ferrari-f40/,1992,https://www.theclassicvaluer.com,Sold
14th Aug 2025,Broad Arrow • Monterey Jet Center 2025,Broad Arrow,United States,Monterey Jet Center 2025,,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/cm-vdXt1JZyRZlFz5-WumsKVBbVY2OCnlnGfBohuyErYM9IPyfyHCRVvFzECGs0keasyoRW1-2MEE_t_VCmpoQ.jpeg,/cars/ferrari/f40/1991/563367,/cars/ferrari/f40/563367,1991 Ferrari F40,0,Not Sold,0,Not Sold,0,Not Sold,,https://www.broadarrowauctions.com/vehicles/jc25_r0069/1991-ferrari-f40,1991,https://www.theclassicvaluer.com,Not Sold
25th May 2025,Broad Arrow • The Concorso d'Eleganza Villa d’Este Auction 2025,Broad Arrow,Italy,The Concorso d'Eleganza Villa d’Este Auction 2025,,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/S8P4zFJeaVmwePAkT6RrmYJXtrXtyw3bpPjAJlec6gfJA93JSIqgShBem7TrVVCu_aY1uYqgklAwUJwCObUouw.jpeg,/cars/ferrari/f40/1989/542426,/cars/ferrari/f40/542426,"1989 Ferrari F40 ""Competizione",2312500,"€2,312,500",1.965625e+06,"£1,965,625",2610812,"$2,610,812",,https://www.broadarrowauctions.com/vehicles/ve25_r0099/1989-ferrari-f40-competizione,1989,https://www.theclassicvaluer.com,Sold
