auction_date_long,auction_desc,auction_house,auction_location,auction_name,chassis_number,image,link,link_v2,lot_description,price_eur_number,price_eur_string,price_gbp_number,price_gbp_string,price_usd_number,price_usd_string,reg_number,url,year,sourceUrl,status
16th Aug 2025,RM Sotheby's • Monterey 2025,RM Sotheby's,United States,Monterey 2025,ZFFGJ34B000084036,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/bHKtTlYKfHKEH7l-FjjW9eh2w8H2Dg7QrJOtWXk4NPJe4aa7Pn0V0CsAfTX6NmF0sOk-FWJ7xmYW05YnuQoXMA.jpeg,/cars/ferrari/f40/1990/563512,/cars/ferrari/f40/563512,1990 Ferrari F40,3373125,"€3,373,125",2.918235e+06,"£2,918,235",3855000,"$3,855,000",,https://rmsothebys.com/auctions/mo25/lots/r0017-1990-ferrari-f40/,1990,https://www.theclassicvaluer.com,Sold
16th Aug 2025,Gooding Christie's • Pebble Beach Auctions 2025,Gooding Christie's,United States,Pebble Beach Auctions 2025,ZFFMN34A0L0086620,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/tPqyy41uXGkenAnZhJhLtwXmZmi9cciTuLsS--dTMfqmYuTOM3JVs5bMcBpWUqE4ebMWajuRefT0TS1RrjJUOA.jpeg,/cars/ferrari/f40/1990/563131,/cars/ferrari/f40/563131,1990 Ferrari F40,3325000,"€3,325,000",2.8766e+06,"£2,876,600",3800000,"$3,800,000",,https://www.goodingco.com/lot/1990-ferrari-f40-1b/,1990,https://www.theclassicvaluer.com,Sold
16th Aug 2025,RM Sotheby's • Monterey 2025,RM Sotheby's,United States,Monterey 2025,ZFFGJ34B000094647,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/NT2vCNKDLzzNRttbzKU5U_Hz395ePRTAbze2ZxGKk2sD1Dk5lPvykR5tz_TyvX0rd7kL3p0EAcx3xpGmEL1FGQ.jpeg,/cars/ferrari/f40/1992/563513,/cars/ferrari/f40/563513,1992 Ferrari F40,2410625,"€2,410,625",2.085535e+06,"£2,085,535",2755000,"$2,755,000",,https://rmsothebys.com/auctions/mo25/lots/r0020-1992-ferrari-f40/,1992,https://www.theclassicvaluer.com,Sold
14th Aug 2025,Broad Arrow • Monterey Jet Center 2025,Broad Arrow,United States,Monterey Jet Center 2025,,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/cm-vdXt1JZyRZlFz5-WumsKVBbVY2OCnlnGfBohuyErYM9IPyfyHCRVvFzECGs0keasyoRW1-2MEE_t_VCmpoQ.jpeg,/cars/ferrari/f40/1991/563367,/cars/ferrari/f40/563367,1991 Ferrari F40,0,Not Sold,0,Not Sold,0,Not Sold,,https://www.broadarrowauctions.com/vehicles/jc25_r0069/1991-ferrari-f40,1991,https://www.theclassicvaluer.com,Not Sold
25th May 2025,Broad Arrow • The Concorso d'Eleganza Villa d’Este Auction 2025,Broad Arrow,Italy,The Concorso d'Eleganza Villa d’Este Auction 2025,,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/S8P4zFJeaVmwePAkT6RrmYJXtrXtyw3bpPjAJlec6gfJA93JSIqgShBem7TrVVCu_aY1uYqgklAwUJwCObUouw.jpeg,/cars/ferrari/f40/1989/542426,/cars/ferrari/f40/542426,"1989 Ferrari F40 ""Competizione",2312500,"€2,312,500",1.965625e+06,"£1,965,625",2610812,"$2,610,812",,https://www.broadarrowauctions.com/vehicles/ve25_r0099/1989-ferrari-f40-competizione,1989,https://www.theclassicvaluer.com,Sold
22nd May 2025,RM Sotheby's • Milan,RM Sotheby's,Italy,Milan,ZFFGJ34B000080763,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/4AbkxHbXYS9t-ECAAOcAN8BppjGqNxh91EDoVSTsm5ywFKF2PPXomEZHUiIf5JnGwGss9wFP979_mHEGA60gGQ.jpeg,/cars/ferrari/f40/1989/541823,/cars/ferrari/f40/541823,1989 Ferrari F40,2817500,"€2,817,500",2.394875e+06,"£2,394,875",3180958,"$3,180,958",,https://rmsothebys.com/auctions/ml25/lots/r0034-1989-ferrari-f40/,1989,https://www.theclassicvaluer.com,Sold
8th Mar 2025,Broad Arrow • The Amelia Auction 2025,Broad Arrow,United States,The Amelia Auction 2025,,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/Mu7IAoR3P2xhJ_6agvlUUd9RSJszTBsEJaax95ZpgRbaZo2hcJtvEliWMlpUI4EN1v0bLMAwbfUXqunnE3hdSg.jpeg,/cars/ferrari/f40/1990/515652,/cars/ferrari/f40/515652,1990 Ferrari F40,3529395,"€3,529,395",2.913675e+06,"£2,913,675",3665000,"$3,665,000",,https://www.broadarrowauctions.com/vehicles/am25_r182/1990-ferrari-f40,1990,https://www.theclassicvaluer.com,Sold
28th Feb 2025,RM Sotheby's • Miami,RM Sotheby's,United States,Miami,ZFFMN34A1M0089382,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/Nh9ua7WnqZPLIYM_7BhvK3MUtmTQX8YHetD-qDmkUrza_IiYEpFWIGNdW6ZfwSqj2n-MkKJfNiab81qpgCuVhQ.jpeg,/cars/ferrari/f40/1991/514293,/cars/ferrari/f40/514293,1991 Ferrari F40,3454700,"€3,454,700",2.88906e+06,"£2,889,060",3580000,"$3,580,000",,https://rmsothebys.com/auctions/mi25/lots/r0050-1991-ferrari-f40/,1991,https://www.theclassicvaluer.com,Sold
18th Jan 2025,Mecum • Kissimmee 2025,Mecum,United States,Kissimmee 2025,ZFFGJ34B000094528,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/8D2bve01JdSaWrgewskiH7yR8Us79BGAzaQs3uSjczO-g7Wi3qIIA9glFXHtx9Nt-HknZGw60jj5i8-gmHJ1uA.jpeg,/cars/ferrari/f40/1992/500124,/cars/ferrari/f40/500124,1992 Ferrari F40,0,Not Sold,0,Not Sold,0,Not Sold,,https://www.mecum.com/lots/1137173/1992-ferrari-f40/?aa_id=640672-0,1992,https://www.theclassicvaluer.com,Not Sold
2nd Nov 2024,RM Sotheby's • London 2024,RM Sotheby's,United Kingdom,London 2024,ZFFGJ34B000083052,https://tcv-images.s3.eu-west-2.amazonaws.com/cars/SrnXPLka7_CSYQMR83tsDDABv-Op3qxlm9zHmwJkCX-7Tkd4h44quq1CunVlPV5ZjXbz6qv3iuk72PsWWJv-5Q.jpeg,/cars/ferrari/f40/1989/486662,/cars/ferrari/f40/486662,1989 Ferrari F40,2354684,"€2,354,684",1.97375e+06,"£1,973,750",2557980,"$2,557,980",GE 876251,https://rmsothebys.com/auctions/lf24/lots/r0053-1989-ferrari-f40/,1989,https://www.theclassicvaluer.com,Sold
